,CNAE,PP/GU,N° de empresas
265,"Transporte por navegação de travessia intermunicipal, interestadual e internacional",Alto,"245    2118
Name: N° de empresas, dtype: int64"
266,Transporte ferroviário de carga,Alto,"242    551
Name: N° de empresas, dtype: int64"
267,Transporte rodoviário de produtos perigosos,Alto,"243    26141
Name: N° de empresas, dtype: int64"
268,"Transporte por navegação interior de carga, municipal, exceto travessia",Alto,"244    2770
Name: N° de empresas, dtype: int64"
269,"Transporte por navegação de travessia intermunicipal, interestadual e internacional",Alto,"245    2118
Name: N° de empresas, dtype: int64"
270,Transporte ferroviário de carga,Alto,"242    551
Name: N° de empresas, dtype: int64"
271,Transporte rodoviário de produtos perigosos,Alto,"243    26141
Name: N° de empresas, dtype: int64"
272,"Transporte por navegação interior de carga, municipal, exceto travessia",Alto,"244    2770
Name: N° de empresas, dtype: int64"
273,"Transporte por navegação de travessia intermunicipal, interestadual e internacional",Alto,"245    2118
Name: N° de empresas, dtype: int64"
274,Transporte aéreo de carga,Alto,"248    468
Name: N° de empresas, dtype: int64"
275,Extração de madeira em florestas nativas,Médio,"249    1236
Name: N° de empresas, dtype: int64"
276,Produção de carvão vegetal - florestas nativas,Médio,"250    1505
Name: N° de empresas, dtype: int64"
277,Pesca de peixes em água salgada,Médio,"251    3893
Name: N° de empresas, dtype: int64"
278,Pesca de crustáceos e moluscos em água salgada,Médio,"252    511
Name: N° de empresas, dtype: int64"
279,Coleta de outros produtos marinhos,Médio,"253    42
Name: N° de empresas, dtype: int64"
280,Pesca de peixes em água doce,Médio,"254    6044
Name: N° de empresas, dtype: int64"
281,Pesca de crustáceos e moluscos em água doce,Médio,"255    8
Name: N° de empresas, dtype: int64"
282,Coleta de outros produtos aquáticos de água doce,Médio,"256    71
Name: N° de empresas, dtype: int64"
283,"Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental",Médio,"257    4257
Name: N° de empresas, dtype: int64"
284,Extração de madeira em florestas plantadas,Médio,"258    13387
Name: N° de empresas, dtype: int64"
285,Produção de carvão vegetal - florestas plantadas,Médio,"259    6904
Name: N° de empresas, dtype: int64"
286,Extração de madeira em florestas plantadas,Médio,"258    13387
Name: N° de empresas, dtype: int64"
287,Produção de carvão vegetal - florestas plantadas,Médio,"259    6904
Name: N° de empresas, dtype: int64"
288,Coleta de palmito em florestas nativas,Médio,"260    107
Name: N° de empresas, dtype: int64"
289,Operação dos aeroportos e campos de aterrissagem,-,"247    1310
Name: N° de empresas, dtype: int64"
290,Operação dos aeroportos e campos de aterrissagem,-,"247    1310
Name: N° de empresas, dtype: int64"
291,Transmissão de energia elétrica,-,"261    2880
Name: N° de empresas, dtype: int64"
292,Geração de energia elétrica,-,"240    19403
Name: N° de empresas, dtype: int64"
293,Geração de energia elétrica,-,"240    19403
Name: N° de empresas, dtype: int64"
294,Distribuição de energia elétrica,-,"262    5066
Name: N° de empresas, dtype: int64"
