CDIGO DO MUNICPIO - TOM;CDIGO DO MUNICPIO - IBGE;MUNICPIO - TOM;MUNICPIO - IBGE;UF
4467;3123403;DORESPOLIS;Dorespolis;MG
4469;3123502;DOURADOQUARA;Douradoquara;MG
4471;3123601;ELI MENDES;Eli Mendes;MG
4473;3123700;ENGENHEIRO CALDAS;Engenheiro Caldas;MG
4475;3123809;ENGENHEIRO NAVARRO;Engenheiro Navarro;MG
4477;3123908;ENTRE RIOS DE MINAS;Entre Rios de Minas;MG
4479;3124005;ERVLIA;Ervlia;MG
4481;3124104;ESMERALDAS;Esmeraldas;MG
4483;3124203;ESPERA FELIZ;Espera Feliz;MG
4485;3124302;ESPINOSA;Espinosa;MG
4487;3124401;ESPRITO SANTO DO DOURADO;Esprito Santo do Dourado;MG
4489;3124500;ESTIVA;Estiva;MG
4491;3124609;ESTRELA DALVA;Estrela Dalva;MG
4493;3124708;ESTRELA DO INDAI;Estrela do Indai;MG
4495;3124807;ESTRELA DO SUL;Estrela do Sul;MG
4497;3124906;EUGENPOLIS;Eugenpolis;MG
4499;3125002;EWBANK DA CMARA;Ewbank da Cmara;MG
4501;3125101;EXTREMA;Extrema;MG
4503;3125200;FAMA;Fama;MG
4505;3125309;FARIA LEMOS;Faria Lemos;MG
4507;3125408;FELCIO DOS SANTOS;Felcio dos Santos;MG
4509;3125507;SO GONALO DO RIO PRETO;So Gonalo do Rio Preto;MG
4511;3125606;FELISBURGO;Felisburgo;MG
4513;3125705;FELIXLNDIA;Felixlndia;MG
4515;3125804;FERNANDES TOURINHO;Fernandes Tourinho;MG
4517;3125903;FERROS;Ferros;MG
4519;3126000;FLORESTAL;Florestal;MG
4521;3126109;FORMIGA;Formiga;MG
4523;3126208;FORMOSO;Formoso;MG
4525;3126307;FORTALEZA DE MINAS;Fortaleza de Minas;MG
4527;3126406;FORTUNA DE MINAS;Fortuna de Minas;MG
4529;3126505;FRANCISCO BADAR;Francisco Badar;MG
4531;3126604;FRANCISCO DUMONT;Francisco Dumont;MG
4533;3126703;FRANCISCO S;Francisco S;MG
4535;3126802;FREI GASPAR;Frei Gaspar;MG
4537;3126901;FREI INOCNCIO;Frei Inocncio;MG
4539;3127008;FRONTEIRA;Fronteira;MG
4541;3127107;FRUTAL;Frutal;MG
4543;3127206;FUNILNDIA;Funilndia;MG
4545;3127305;GALILIA;Galilia;MG
4547;3127404;GONALVES;Gonalves;MG
4549;3127503;GONZAGA;Gonzaga;MG
4551;3127602;Gouveia;Gouveia;MG
4553;3127701;GOVERNADOR VALADARES;Governador Valadares;MG
4555;3127800;GRO MOGOL;Gro Mogol;MG
4557;3127909;GRUPIARA;Grupiara;MG
4559;3128006;GUANHES;Guanhes;MG
4561;3128105;GUAP;Guap;MG
4563;3128204;GUARACIABA;Guaraciaba;MG
4565;3128303;GUARANSIA;Guaransia;MG
4567;3128402;GUARANI;Guarani;MG
4569;3128501;GUARAR;Guarar;MG
4571;3128600;GUARDA-MOR;Guarda-Mor;MG
4573;3128709;GUAXUP;Guaxup;MG
4575;3128808;GUIDOVAL;Guidoval;MG
4577;3128907;GUIMARNIA;Guimarnia;MG
4579;3129004;GUIRICEMA;Guiricema;MG
4581;3129103;GURINHAT;Gurinhat;MG
4583;3129202;HELIODORA;Heliodora;MG
4585;3129301;IAPU;Iapu;MG
4587;3129400;IBERTIOGA;Ibertioga;MG
4589;3129509;IBI;Ibi;MG
4591;3129608;IBIA;Ibia;MG
4593;3129707;IBIRACI;Ibiraci;MG
4595;3129806;IBIRIT;Ibirit;MG
4597;3129905;IBITIRA DE MINAS;Ibitira de Minas;MG
4599;3130002;IBITURUNA;Ibituruna;MG
4601;3130101;IGARAP;Igarap;MG
4603;3130200;IGARATINGA;Igaratinga;MG
4605;3130309;IGUATAMA;Iguatama;MG
4607;3130408;IJACI;Ijaci;MG
4609;3130507;ILICNEA;Ilicnea;MG
4611;3130606;INCONFIDENTES;Inconfidentes;MG
4613;3130705;INDIANPOLIS;Indianpolis;MG
4615;3130804;INGA;Inga;MG
4617;3130903;INHAPIM;Inhapim;MG
4619;3131000;INHAMA;Inhama;MG
4621;3131109;INIMUTABA;Inimutaba;MG
4623;3131208;IPANEMA;Ipanema;MG
4625;3131307;IPATINGA;Ipatinga;MG
4627;3131406;IPIAU;Ipiau;MG
4629;3131505;IPUINA;Ipuina;MG
4631;3131604;IRA DE MINAS;Ira de Minas;MG
4633;3131703;ITABIRA;Itabira;MG
4635;3131802;ITABIRINHA;Itabirinha;MG
4637;3131901;ITABIRITO;Itabirito;MG
4639;3132008;ITACAMBIRA;Itacambira;MG
4641;3132107;ITACARAMBI;Itacarambi;MG
4643;3132206;ITAGUARA;Itaguara;MG
4645;3132305;ITAIP;Itaip;MG
4647;3132404;ITAJUB;Itajub;MG
4649;3132503;ITAMARANDIBA;Itamarandiba;MG
4651;3132602;ITAMARATI DE MINAS;Itamarati de Minas;MG
4653;3132701;ITAMBACURI;Itambacuri;MG
4655;3132800;ITAMB DO MATO DENTRO;Itamb do Mato Dentro;MG
4657;3132909;ITAMOGI;Itamogi;MG
4659;3133006;ITAMONTE;Itamonte;MG
4661;3133105;ITANHANDU;Itanhandu;MG
4663;3133204;ITANHOMI;Itanhomi;MG
4665;3133303;ITAOBIM;Itaobim;MG
4667;3133402;ITAPAGIPE;Itapagipe;MG
4669;3133501;ITAPECERICA;Itapecerica;MG
4671;3133600;ITAPEVA;Itapeva;MG
4673;3133709;ITATIAIUU;Itatiaiuu;MG
4675;3133808;ITANA;Itana;MG
4677;3133907;ITAVERAVA;Itaverava;MG
4679;3134004;ITINGA;Itinga;MG
4681;3134103;ITUETA;Itueta;MG
4683;3134202;ITUIUTABA;Ituiutaba;MG
4685;3134301;ITUMIRIM;Itumirim;MG
4687;3134400;ITURAMA;Iturama;MG
4689;3134509;ITUTINGA;Itutinga;MG
4691;3134608;JABOTICATUBAS;Jaboticatubas;MG
4693;3134707;JACINTO;Jacinto;MG
4695;3134806;JACU;Jacu;MG
4697;3134905;JACUTINGA;Jacutinga;MG
4699;3135001;JAGUARAU;Jaguarau;MG
4701;3135100;JANABA;Janaba;MG
4703;3135209;JANURIA;Januria;MG
4705;3135308;JAPARABA;Japaraba;MG
4707;3135407;JECEABA;Jeceaba;MG
4709;3135506;JEQUERI;Jequeri;MG
4711;3135605;JEQUITA;Jequita;MG
4713;3135704;JEQUITIB;Jequitib;MG
4715;3135803;JEQUITINHONHA;Jequitinhonha;MG
4717;3135902;JESUNIA;Jesunia;MG
4719;3136009;JOAMA;Joama;MG
4721;3136108;JOANSIA;Joansia;MG
4723;3136207;JOO MONLEVADE;Joo Monlevade;MG
4725;3136306;JOO PINHEIRO;Joo Pinheiro;MG
4727;3136405;JOAQUIM FELCIO;Joaquim Felcio;MG
4729;3136504;JORDNIA;Jordnia;MG
4731;3136603;NOVA UNIO;Nova Unio;MG
4733;3136702;JUIZ DE FORA;Juiz de Fora;MG
4735;3136801;JURAMENTO;Juramento;MG
4737;3136900;JURUAIA;Juruaia;MG
4739;3137007;LADAINHA;Ladainha;MG
4741;3137106;LAGAMAR;Lagamar;MG
4743;3137205;LAGOA DA PRATA;Lagoa da Prata;MG
4745;3137304;LAGOA DOS PATOS;Lagoa dos Patos;MG
4747;3137403;LAGOA DOURADA;Lagoa Dourada;MG
4749;3137502;LAGOA FORMOSA;Lagoa Formosa;MG
4751;3137601;LAGOA SANTA;Lagoa Santa;MG
4753;3137700;LAJINHA;Lajinha;MG
4755;3137809;LAMBARI;Lambari;MG
4757;3137908;LAMIM;Lamim;MG
4759;3138005;LARANJAL;Laranjal;MG
4761;3138104;LASSANCE;Lassance;MG
4763;3138203;LAVRAS;Lavras;MG
4765;3138302;LEANDRO FERREIRA;Leandro Ferreira;MG
4767;3138401;LEOPOLDINA;Leopoldina;MG
4769;3138500;LIBERDADE;Liberdade;MG
4771;3138609;LIMA DUARTE;Lima Duarte;MG
4773;3138708;LUMINRIAS;Luminrias;MG
4775;3138807;LUZ;Luz;MG
4777;3138906;MACHACALIS;Machacalis;MG
4779;3139003;MACHADO;Machado;MG
4781;3139102;MADRE DE DEUS DE MINAS;Madre de Deus de Minas;MG
4783;3139201;MALACACHETA;Malacacheta;MG
4785;3139300;MANGA;Manga;MG
4787;3139409;MANHUAU;Manhuau;MG
4789;3139508;MANHUMIRIM;Manhumirim;MG
4791;3139607;MANTENA;Mantena;MG
4793;3139706;MARAVILHAS;Maravilhas;MG
4795;3139805;MAR DE ESPANHA;Mar de Espanha;MG
4797;3139904;MARIA DA F;Maria da F;MG
4799;3140001;MARIANA;Mariana;MG
4801;3140100;MARILAC;Marilac;MG
4803;3140209;MARIP DE MINAS;Marip de Minas;MG
4805;3140308;MARLIRIA;Marliria;MG
4807;3140407;MARMELPOLIS;Marmelpolis;MG
4809;3140506;MARTINHO CAMPOS;Martinho Campos;MG
4811;3140605;MATERLNDIA;Materlndia;MG
4813;3140704;MATEUS LEME;Mateus Leme;MG
4815;3140803;MATIAS BARBOSA;Matias Barbosa;MG
4817;3140902;MATIP;Matip;MG
4819;3141009;MATO VERDE;Mato Verde;MG
4821;3141108;MATOZINHOS;Matozinhos;MG
4823;3141207;MATUTINA;Matutina;MG
4825;3141306;MEDEIROS;Medeiros;MG
4827;3141405;MEDINA;Medina;MG
4829;3141504;MENDES PIMENTEL;Mendes Pimentel;MG
4831;3141603;MERCS;Mercs;MG
4833;3141702;MESQUITA;Mesquita;MG
4835;3141801;MINAS NOVAS;Minas Novas;MG
4837;3141900;MINDURI;Minduri;MG
4839;3142007;MIRABELA;Mirabela;MG
4841;3142106;MIRADOURO;Miradouro;MG
4843;3142205;MIRA;Mira;MG
4845;3142304;MOEDA;Moeda;MG
4847;3142403;MOEMA;Moema;MG
4849;3142502;MONJOLOS;Monjolos;MG
4851;3142601;MONSENHOR PAULO;Monsenhor Paulo;MG
4853;3142700;MONTALVNIA;Montalvnia;MG
4855;3142809;MONTE ALEGRE DE MINAS;Monte Alegre de Minas;MG
4857;3142908;MONTE AZUL;Monte Azul;MG
4859;3143005;MONTE BELO;Monte Belo;MG
4861;3143104;MONTE CARMELO;Monte Carmelo;MG
4863;3143203;MONTE SANTO DE MINAS;Monte Santo de Minas;MG
4865;3143302;MONTES CLAROS;Montes Claros;MG
4867;3143401;MONTE SIO;Monte Sio;MG
4869;3143500;MORADA NOVA DE MINAS;Morada Nova de Minas;MG
4871;3143609;MORRO DA GARA;Morro da Gara;MG
4873;3143708;MORRO DO PILAR;Morro do Pilar;MG
4875;3143807;MUNHOZ;Munhoz;MG
4877;3143906;MURIA;Muria;MG
4879;3144003;MUTUM;Mutum;MG
4881;3144102;MUZAMBINHO;Muzambinho;MG
4883;3144201;NACIP RAYDAN;Nacip Raydan;MG
4885;3144300;NANUQUE;Nanuque;MG
4887;3144409;NATRCIA;Natrcia;MG
4889;3144508;NAZARENO;Nazareno;MG
4891;3144607;NEPOMUCENO;Nepomuceno;MG
4893;3144706;NOVA ERA;Nova Era;MG
4895;3144805;NOVA LIMA;Nova Lima;MG
4897;3144904;NOVA MDICA;Nova Mdica;MG
4899;3145000;NOVA PONTE;Nova Ponte;MG
4901;3145109;NOVA RESENDE;Nova Resende;MG
4903;3145208;NOVA SERRANA;Nova Serrana;MG
4905;3145307;NOVO CRUZEIRO;Novo Cruzeiro;MG
4907;3145406;OLARIA;Olaria;MG
4909;3145505;OLMPIO NORONHA;Olmpio Noronha;MG
4911;3145604;OLIVEIRA;Oliveira;MG
4913;3145703;OLIVEIRA FORTES;Oliveira Fortes;MG
4915;3145802;ONA DE PITANGUI;Ona de Pitangui;MG
4917;3145901;OURO BRANCO;Ouro Branco;MG
4919;3146008;OURO FINO;Ouro Fino;MG
4921;3146107;OURO PRETO;Ouro Preto;MG
4923;3146206;OURO VERDE DE MINAS;Ouro Verde de Minas;MG
4925;3146305;PADRE PARASO;Padre Paraso;MG
4927;3146404;PAINEIRAS;Paineiras;MG
4929;3146503;PAINS;Pains;MG
4931;3146602;PAIVA;Paiva;MG
4933;3146701;PALMA;Palma;MG
4935;3127057;FRONTEIRA DOS VALES;Fronteira dos Vales;MG
4937;3146909;PAPAGAIOS;Papagaios;MG
4939;3147006;PARACATU;Paracatu;MG
4941;3147105;PAR DE MINAS;Par de Minas;MG
4943;3147204;PARAGUAU;Paraguau;MG
4945;3147303;PARAISPOLIS;Paraispolis;MG
4947;3147402;PARAOPEBA;Paraopeba;MG
4949;3147501;PASSABM;Passabm;MG
4951;3147600;PASSA QUATRO;Passa Quatro;MG
4953;3147709;PASSA TEMPO;Passa Tempo;MG
4955;3147808;PASSA VINTE;Passa Vinte;MG
4957;3147907;PASSOS;Passos;MG
4959;3148004;PATOS DE MINAS;Patos de Minas;MG
4961;3148103;PATROCNIO;Patrocnio;MG
4963;3148202;PATROCNIO DO MURIA;Patrocnio do Muria;MG
4965;3148301;PAULA CNDIDO;Paula Cndido;MG
4967;3148400;PAULISTAS;Paulistas;MG
4969;3148509;PAVO;Pavo;MG
4971;3148608;PEANHA;Peanha;MG
4973;3148707;PEDRA AZUL;Pedra Azul;MG
4975;3148806;PEDRA DO ANTA;Pedra do Anta;MG
4977;3148905;PEDRA DO INDAI;Pedra do Indai;MG
4979;3149002;PEDRA DOURADA;Pedra Dourada;MG
4981;3149101;PEDRALVA;Pedralva;MG
4983;3149200;PEDRINPOLIS;Pedrinpolis;MG
4985;3149309;PEDRO LEOPOLDO;Pedro Leopoldo;MG
4987;3149408;PEDRO TEIXEIRA;Pedro Teixeira;MG
4989;3149507;PEQUERI;Pequeri;MG
4991;3149606;PEQUI;Pequi;MG
4993;3149705;PERDIGO;Perdigo;MG
4995;3149804;PERDIZES;Perdizes;MG
4997;3149903;PERDES;Perdes;MG
4999;3150000;PESCADOR;Pescador;MG
5001;3150109;PIAU;Piau;MG
5003;3150208;PIEDADE DE PONTE NOVA;Piedade de Ponte Nova;MG
5005;3150307;PIEDADE DO RIO GRANDE;Piedade do Rio Grande;MG
5007;3150406;PIEDADE DOS GERAIS;Piedade dos Gerais;MG
5009;3150505;PIMENTA;Pimenta;MG
5011;3150604;PIRACEMA;Piracema;MG
5013;3150703;PIRAJUBA;Pirajuba;MG
5015;3150802;PIRANGA;Piranga;MG
5017;3150901;PIRANGUU;Piranguu;MG
5019;3151008;PIRANGUINHO;Piranguinho;MG
5021;3151107;PIRAPETINGA;Pirapetinga;MG
5023;3151206;PIRAPORA;Pirapora;MG
5025;3151305;PIRABA;Piraba;MG
5027;3151404;PITANGUI;Pitangui;MG
5029;3151503;PIUMHI;Piumhi;MG
5031;3151602;PLANURA;Planura;MG
5033;3151701;POO FUNDO;Poo Fundo;MG
5035;3151800;POOS DE CALDAS;Poos de Caldas;MG
5037;3151909;POCRANE;Pocrane;MG
5039;3152006;POMPU;Pompu;MG
5041;3152105;PONTE NOVA;Ponte Nova;MG
5043;3152204;PORTEIRINHA;Porteirinha;MG
5045;3152303;PORTO FIRME;Porto Firme;MG
5047;3152402;POT;Pot;MG
5049;3152501;POUSO ALEGRE;Pouso Alegre;MG
5051;3152600;POUSO ALTO;Pouso Alto;MG
5053;3152709;PRADOS;Prados;MG
5055;3152808;PRATA;Prata;MG
5057;3152907;PRATPOLIS;Pratpolis;MG
5059;3153004;PRATINHA;Pratinha;MG
5061;3153103;PRESIDENTE BERNARDES;Presidente Bernardes;MG
5063;3153202;PRESIDENTE JUSCELINO;Presidente Juscelino;MG
5065;3153301;PRESIDENTE KUBITSCHEK;Presidente Kubitschek;MG
5067;3153400;PRESIDENTE OLEGRIO;Presidente Olegrio;MG
5069;3153509;ALTO JEQUITIB;Alto Jequitib;MG
5071;3153608;PRUDENTE DE MORAIS;Prudente de Morais;MG
5073;3153707;QUARTEL GERAL;Quartel Geral;MG
5075;3153806;Queluzito;Queluzito;MG
5077;3153905;RAPOSOS;Raposos;MG
5079;3154002;RAUL SOARES;Raul Soares;MG
5081;3154101;RECREIO;Recreio;MG
5083;3154200;RESENDE COSTA;Resende Costa;MG
5085;3154309;RESPLENDOR;Resplendor;MG
5087;3154408;RESSAQUINHA;Ressaquinha;MG
5089;3154507;RIACHO DOS MACHADOS;Riacho dos Machados;MG
5091;3154606;RIBEIRO DAS NEVES;Ribeiro das Neves;MG
5093;3154705;RIBEIRO VERMELHO;Ribeiro Vermelho;MG
5095;3154804;RIO ACIMA;Rio Acima;MG
5097;3154903;RIO CASCA;Rio Casca;MG
5099;3155009;RIO DOCE;Rio Doce;MG
5101;3155108;RIO DO PRADO;Rio do Prado;MG
5103;3155207;RIO ESPERA;Rio Espera;MG
5105;3155306;RIO MANSO;Rio Manso;MG
5107;3155405;RIO NOVO;Rio Novo;MG
5109;3155504;RIO PARANABA;Rio Paranaba;MG
5111;3155603;RIO PARDO DE MINAS;Rio Pardo de Minas;MG
5113;3155702;RIO PIRACICABA;Rio Piracicaba;MG
5115;3155801;RIO POMBA;Rio Pomba;MG
5117;3155900;RIO PRETO;Rio Preto;MG
5119;3156007;RIO VERMELHO;Rio Vermelho;MG
5121;3156106;RITPOLIS;Ritpolis;MG
5123;3156205;ROCHEDO DE MINAS;Rochedo de Minas;MG
5125;3156304;RODEIRO;Rodeiro;MG
5127;3156403;ROMARIA;Romaria;MG
5129;3156502;RUBELITA;Rubelita;MG
5131;3156601;RUBIM;Rubim;MG
5133;3156700;SABAR;Sabar;MG
5135;3156809;SABINPOLIS;Sabinpolis;MG
5137;3156908;SACRAMENTO;Sacramento;MG
5139;3157005;SALINAS;Salinas;MG
5141;3157104;SALTO DA DIVISA;Salto da Divisa;MG
5143;3157203;SANTA BRBARA;Santa Brbara;MG
5145;3157302;SANTA BRBARA DO TUGRIO;Santa Brbara do Tugrio;MG
5147;3157401;SANTA CRUZ DO ESCALVADO;Santa Cruz do Escalvado;MG
5149;3157500;SANTA EFIGNIA DE MINAS;Santa Efignia de Minas;MG
5151;3157609;SANTA F DE MINAS;Santa F de Minas;MG
5153;3157708;SANTA JULIANA;Santa Juliana;MG
5155;3157807;SANTA LUZIA;Santa Luzia;MG
5157;3157906;SANTA MARGARIDA;Santa Margarida;MG
5159;3158003;SANTA MARIA DE ITABIRA;Santa Maria de Itabira;MG
5161;3158102;SANTA MARIA DO SALTO;Santa Maria do Salto;MG
5163;3158201;SANTA MARIA DO SUAU;Santa Maria do Suau;MG
5165;3158300;SANTANA DA VARGEM;Santana da Vargem;MG
5167;3158409;SANTANA DE CATAGUASES;Santana de Cataguases;MG
5169;3158508;SANTANA DE PIRAPAMA;Santana de Pirapama;MG
5171;3158607;SANTANA DO DESERTO;Santana do Deserto;MG
5173;3158706;SANTANA DO GARAMBU;Santana do Garambu;MG
5175;3158805;SANTANA DO JACAR;Santana do Jacar;MG
5177;3158904;SANTANA DO MANHUAU;Santana do Manhuau;MG
5179;3159001;SANTANA DO RIACHO;Santana do Riacho;MG
5181;3159100;SANTANA DOS MONTES;Santana dos Montes;MG
5183;3159209;SANTA RITA DE CALDAS;Santa Rita de Caldas;MG
5185;3159308;SANTA RITA DE JACUTINGA;Santa Rita de Jacutinga;MG
5187;3159407;SANTA RITA DE IBITIPOCA;Santa Rita de Ibitipoca;MG
5189;3159506;SANTA RITA DO ITUETO;Santa Rita do Itueto;MG
5191;3159605;SANTA RITA DO SAPUCA;Santa Rita do Sapuca;MG
5193;3159704;SANTA ROSA DA SERRA;Santa Rosa da Serra;MG
5195;3159803;SANTA VITRIA;Santa Vitria;MG
5197;3159902;SANTO ANTNIO DO AMPARO;Santo Antnio do Amparo;MG
5199;3160009;SANTO ANTNIO DO AVENTUREIRO;Santo Antnio do Aventureiro;MG
5201;3160108;SANTO ANTNIO DO GRAMA;Santo Antnio do Grama;MG
5203;3160207;SANTO ANTNIO DO ITAMB;Santo Antnio do Itamb;MG
5205;3160306;SANTO ANTNIO DO JACINTO;Santo Antnio do Jacinto;MG
5207;3160405;SANTO ANTNIO DO MONTE;Santo Antnio do Monte;MG
5209;3160504;SANTO ANTNIO DO RIO ABAIXO;Santo Antnio do Rio Abaixo;MG
5211;3160603;SANTO HIPLITO;Santo Hiplito;MG
5213;3160702;SANTOS DUMONT;Santos Dumont;MG
5215;3160801;SO BENTO ABADE;So Bento Abade;MG
5217;3160900;SO BRS DO SUAU;So Brs do Suau;MG
5219;3161007;SO DOMINGOS DO PRATA;So Domingos do Prata;MG
5221;3161106;SO FRANCISCO;So Francisco;MG
5223;3161205;SO FRANCISCO DE PAULA;So Francisco de Paula;MG
5225;3161304;SO FRANCISCO DE SALES;So Francisco de Sales;MG
5227;3161403;SO FRANCISCO DO GLRIA;So Francisco do Glria;MG
5229;3161502;SO GERALDO;So Geraldo;MG
5231;3161601;SO GERALDO DA PIEDADE;So Geraldo da Piedade;MG
5233;3161700;SO GONALO DO ABAET;So Gonalo do Abaet;MG
5235;3161809;SO GONALO DO PAR;So Gonalo do Par;MG
5237;3161908;SO GONALO DO RIO ABAIXO;So Gonalo do Rio Abaixo;MG
5239;3162005;SO GONALO DO SAPUCA;So Gonalo do Sapuca;MG
5241;3162104;SO GOTARDO;So Gotardo;MG
5243;3162203;SO JOO BATISTA DO GLRIA;So Joo Batista do Glria;MG
5245;3162302;SO JOO DA MATA;So Joo da Mata;MG
5247;3162401;SO JOO DA PONTE;So Joo da Ponte;MG
5249;3162500;SO JOO DEL REI;So Joo del Rei;MG
5251;3162609;SO JOO DO ORIENTE;So Joo do Oriente;MG
5253;3162708;SO JOO DO PARASO;So Joo do Paraso;MG
5255;3162807;SO JOO EVANGELISTA;So Joo Evangelista;MG
5257;3162906;SO JOO NEPOMUCENO;So Joo Nepomuceno;MG
5259;3163003;SO JOS DA SAFIRA;So Jos da Safira;MG
5261;3163102;SO JOS DA VARGINHA;So Jos da Varginha;MG
5263;3163201;SO JOS DO ALEGRE;So Jos do Alegre;MG
5265;3163300;SO JOS DO DIVINO;So Jos do Divino;MG
5267;3163409;SO JOS DO GOIABAL;So Jos do Goiabal;MG
5269;3163508;SO JOS DO JACURI;So Jos do Jacuri;MG
5271;3163607;SO JOS DO MANTIMENTO;So Jos do Mantimento;MG
5273;3163706;SO LOURENO;So Loureno;MG
5275;3163805;SO MIGUEL DO ANTA;So Miguel do Anta;MG
5277;3163904;SO PEDRO DA UNIO;So Pedro da Unio;MG
5279;3164001;SO PEDRO DOS FERROS;So Pedro dos Ferros;MG
5281;3164100;SO PEDRO DO SUAU;So Pedro do Suau;MG
5283;3164209;SO ROMO;So Romo;MG
5285;3164308;SO ROQUE DE MINAS;So Roque de Minas;MG
5287;3164407;SO SEBASTIO DA BELA VISTA;So Sebastio da Bela Vista;MG
5289;3164506;SO SEBASTIO DO MARANHO;So Sebastio do Maranho;MG
5291;3164605;SO SEBASTIO DO OESTE;So Sebastio do Oeste;MG
5293;3164704;SO SEBASTIO DO PARASO;So Sebastio do Paraso;MG
5295;3164803;SO SEBASTIO DO RIO PRETO;So Sebastio do Rio Preto;MG
5297;3164902;SO SEBASTIO DO RIO VERDE;So Sebastio do Rio Verde;MG
5299;3165008;SO TIAGO;So Tiago;MG
5301;3165107;SO TOMS DE AQUINO;So Toms de Aquino;MG
5303;3165206;SO TOM DAS LETRAS;So Tom das Letras;MG
5305;3165305;SO VICENTE DE MINAS;So Vicente de Minas;MG
5307;3165404;SAPUCA-MIRIM;Sapuca-Mirim;MG
5309;3165503;SARDO;Sardo;MG
5311;3165602;SENADOR CORTES;Senador Cortes;MG
5313;3165701;SENADOR FIRMINO;Senador Firmino;MG
5315;3165800;SENADOR JOS BENTO;Senador Jos Bento;MG
5317;3165909;SENADOR MODESTINO GONALVES;Senador Modestino Gonalves;MG
5319;3166006;SENHORA DE OLIVEIRA;Senhora de Oliveira;MG
5321;3166105;SENHORA DO PORTO;Senhora do Porto;MG
5323;3166204;SENHORA DOS REMDIOS;Senhora dos Remdios;MG
5325;3166303;SERICITA;Sericita;MG
5327;3166402;SERITINGA;Seritinga;MG
5329;3166501;SERRA AZUL DE MINAS;Serra Azul de Minas;MG
5331;3166600;SERRA DA SAUDADE;Serra da Saudade;MG
5333;3166709;SERRA DOS AIMORS;Serra dos Aimors;MG
5335;3166808;SERRA DO SALITRE;Serra do Salitre;MG
5337;3166907;SERRANIA;Serrania;MG
5339;3167004;SERRANOS;Serranos;MG
5341;3167103;SERRO;Serro;MG
5343;3167202;SETE LAGOAS;Sete Lagoas;MG
5345;3167301;SILVEIRNIA;Silveirnia;MG
5347;3167400;SILVIANPOLIS;Silvianpolis;MG
5349;3167509;SIMO PEREIRA;Simo Pereira;MG
5351;3167608;SIMONSIA;Simonsia;MG
5353;3167707;SOBRLIA;Sobrlia;MG
5355;3167806;SOLEDADE DE MINAS;Soledade de Minas;MG
5357;3167905;TABULEIRO;Tabuleiro;MG
5359;3168002;TAIOBEIRAS;Taiobeiras;MG
5361;3168101;TAPIRA;Tapira;MG
5363;3168200;TAPIRA;Tapira;MG
5365;3168309;TAQUARAU DE MINAS;Taquarau de Minas;MG
5367;3168408;TARUMIRIM;Tarumirim;MG
5369;3168507;TEIXEIRAS;Teixeiras;MG
5371;3168606;TEFILO OTONI;Tefilo Otoni;MG
5373;3168705;TIMTEO;Timteo;MG
5375;3168804;TIRADENTES;Tiradentes;MG
5377;3168903;TIROS;Tiros;MG
5379;3169000;TOCANTINS;Tocantins;MG
5381;3169109;TOLEDO;Toledo;MG
5383;3169208;TOMBOS;Tombos;MG
5385;3169307;TRS CORAES;Trs Coraes;MG
5387;3169406;TRS PONTAS;Trs Pontas;MG
5389;3169505;TUMIRITINGA;Tumiritinga;MG
5391;3169604;TUPACIGUARA;Tupaciguara;MG
5393;3169703;TURMALINA;Turmalina;MG
5395;3169802;TURVOLNDIA;Turvolndia;MG
5397;3169901;UB;Ub;MG
5399;3170008;UBA;Uba;MG
5401;3170107;UBERABA;Uberaba;MG
5403;3170206;UBERLNDIA;Uberlndia;MG
5405;3170305;UMBURATIBA;Umburatiba;MG
5407;3170404;UNA;Una;MG
5409;3170503;URUCNIA;Urucnia;MG
5411;3170602;VARGEM BONITA;Vargem Bonita;MG
5413;3170701;VARGINHA;Varginha;MG
5415;3170800;VRZEA DA PALMA;Vrzea da Palma;MG
5417;3170909;VARZELNDIA;Varzelndia;MG
5419;3171006;VAZANTE;Vazante;MG
5421;3172202;WENCESLAU BRAZ;Wenceslau Braz;MG
5423;3171105;VERSSIMO;Verssimo;MG
5425;3171204;VESPASIANO;Vespasiano;MG
5427;3171303;VIOSA;Viosa;MG
5429;3171402;VIEIRAS;Vieiras;MG
5431;3171501;MATHIAS LOBATO;Mathias Lobato;MG
5433;3171600;VIRGEM DA LAPA;Virgem da Lapa;MG
5435;3171709;VIRGNIA;Virgnia;MG
5437;3171808;VIRGINPOLIS;Virginpolis;MG
5439;3171907;VIRGOLNDIA;Virgolndia;MG
5441;3172004;VISCONDE DO RIO BRANCO;Visconde do Rio Branco;MG
5443;3172103;VOLTA GRANDE;Volta Grande;MG
5445;3545159;SALTINHO;Saltinho;SP
5447;3549953;SO LOURENO DA SERRA;So Loureno da Serra;SP
5449;4128633;DOUTOR ULYSSES;Doutor Ulysses;PR
5451;4111258;ITAPERUU;Itaperuu;PR
5453;4119152;PINHAIS;Pinhais;PR
5455;4127882;TUNAS DO PARAN;Tunas do Paran;PR
5457;4117214;NOVA SANTA BRBARA;Nova Santa Brbara;PR
5459;4115754;MAU DA SERRA;Mau da Serra;PR
5461;4119657;PITANGUEIRAS;Pitangueiras;PR
5463;4101051;ANAHY;Anahy;PR
5465;4107124;DIAMANTE DO SUL;Diamante do Sul;PR
5467;4110052;IGUATU;Iguatu;PR
5469;4123824;SANTA LCIA;Santa Lcia;PR
5471;4103024;BOA ESPERANA DO IGUAU;Boa Esperana do Iguau;PR
